,query,seed_keyword,competition,avg_cpc,1,2,3,4,5,6,7,8,9,10,11,12
280,ticket tgv,train paris london,7.14,0.1,40,110,210,260,140,210,210,170,260,260,210,170
281,autocar londres paris,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,20,10,10
282,train pas cher londres,train paris london,7.14,0.11,10,20,70,110,90,110,170,90,90,90,110,110
283,voyage londre train,train paris london,0.0,0.0,0,10,10,10,10,10,20,10,10,10,10,10
284,eurostar voyage,train paris london,0.0,0.0,10,20,10,10,10,10,10,10,10,10,10,10
285,eurostar reservation sncf,train paris london,0.0,0.0,0,10,10,10,10,50,10,40,20,10,30,30
286,tarif eurostar paris londres,train paris london,2.12,1.4,30,50,110,140,170,260,140,170,170,170,70,170
287,sncf london paris,train paris london,0.0,0.0,0,0,10,0,10,10,10,10,10,10,0,10
288,train a londre,train paris london,0.0,0.0,10,10,20,20,20,20,20,30,20,10,10,10
289,paris londre pas cher bus,train paris london,0.0,0.0,0,0,10,10,10,0,10,10,10,10,10,10
290,eurostar aller retour,train paris london,0.0,0.0,10,30,40,50,30,30,30,50,50,50,30,50
291,voyage sncf londre,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
292,voyage londres paris,train paris london,10.05,0.0,30,50,20,10,30,40,30,10,10,30,10,20
293,prix eurostar londres paris,train paris london,0.0,0.0,20,50,30,10,50,90,10,20,40,70,10,10
294,eurostar londres pas cher,train paris london,0.0,0.0,0,10,20,20,50,20,20,20,10,20,10,10
295,billetterie eurostar gare du nord,train paris london,0.0,0.0,0,10,20,30,30,20,10,20,10,20,20,10
296,paris londres par le train,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
297,londres paris en bus,train paris london,0.0,0.0,10,20,40,30,50,40,40,20,30,40,20,40
298,billet aller retour eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
299,billet eurostar paris londres,train paris london,2.24,0.0,50,260,720,260,480,480,590,320,210,210,170,140
300,train pour londres pas cher,train paris london,0.0,0.0,10,40,170,110,70,140,110,90,110,50,50,40
301,paris londres voyage,train paris london,0.0,0.0,10,10,0,10,10,10,10,10,10,10,10,10
302,départ eurostar paris,train paris london,0.0,0.0,10,20,50,30,140,50,70,50,30,40,50,30
303,train entre londres et paris,train paris london,0.0,0.0,10,10,10,0,10,10,10,10,10,10,0,10
304,tgv bruxelles londres,train paris london,0.0,0.0,10,10,10,20,10,10,30,20,10,10,10,10
305,paris londres discount,train paris london,0.0,0.0,0,0,0,10,10,10,10,10,0,10,0,0
306,billetterie eurostar,train paris london,0.0,0.0,10,10,20,30,20,20,10,20,10,20,20,10
307,billet de train paris londres pas cher,train paris london,14.29,0.0,10,40,50,90,110,140,170,170,170,170,110,140
308,prix billet eurostar pas cher,train paris london,0.0,0.0,0,0,10,0,10,0,10,10,10,10,10,10
309,gare paris eurostar,train paris london,0.0,0.0,20,10,20,20,20,20,20,30,20,20,20,20
310,billet eurostar sncf,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
311,eurostar reservation billets,train paris london,0.0,0.0,10,20,40,90,40,10,30,40,10,10,10,10
312,londre pas cher train,train paris london,0.0,0.0,10,10,10,10,20,10,10,10,10,10,10,10
313,comment aller à londres,train paris london,0.75,0.0,90,140,390,390,390,390,390,320,210,170,140,170
314,sncf reservation eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
315,londres billet,train paris london,7.98,0.05,30,110,260,320,320,320,390,260,210,210,140,170
316,euro star billet,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
317,eurostar pas cher londres paris,train paris london,0.0,0.0,10,10,10,10,10,10,40,10,10,20,40,50
318,shuttle calais londres,train paris london,4.08,0.0,10,70,260,110,170,170,480,110,90,140,320,140
319,bus de londres à paris,train paris london,0.0,0.0,0,10,0,10,10,0,0,10,10,10,10,10
320,eurostar quelle gare,train paris london,0.0,0.0,10,10,40,20,30,30,30,30,30,40,30,30
321,londre gare eurostar,train paris london,0.0,0.0,10,10,10,10,10,20,10,10,10,10,10,10
322,prix transport londres,train paris london,0.0,0.0,30,110,320,390,260,320,320,260,320,260,210,260
323,paris londres eurostar tarif,train paris london,7.14,0.0,10,10,10,10,10,10,10,10,10,10,20,10
324,londres paris train pas cher,train paris london,0.0,0.0,10,20,20,10,10,30,40,20,20,20,20,10
325,billet eurostar paris londres aller retour,train paris london,0.0,0.06,0,10,20,10,10,30,20,30,20,40,30,30
326,paris londre pas cher eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
327,trajet londres,train paris london,2.86,0.14,20,50,110,140,170,170,170,110,110,140,90,110
328,quel billet eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,0,0,10,0,10
329,train paris belgique,train paris london,12.7,0.12,50,170,260,260,210,260,320,210,210,260,260,210
330,le train eurostar,train paris london,0.0,0.0,10,20,10,10,20,10,20,20,10,10,10,10
331,prix train eurostar,train paris london,0.0,0.0,10,10,20,10,40,10,20,10,10,10,10,20
332,billet train paris londres pas cher,train paris london,28.57,0.06,10,30,90,70,110,90,170,210,140,140,110,140
333,billet angleterre,train paris london,0.95,0.25,140,210,390,390,390,390,480,480,320,320,320,390
334,eurostar londre,train paris london,0.55,0.06,30,140,320,320,390,260,210,170,140,140,140,140
335,transport eurostar,train paris london,0.0,0.0,10,20,20,20,90,20,20,10,10,10,10,10
336,eurostar achat billet,train paris london,0.0,0.0,0,10,10,10,10,10,10,20,10,10,10,30
337,paris angleterre eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
338,eurostar billet de train,train paris london,0.0,0.0,10,30,30,30,10,10,10,10,10,10,10,10
339,eurotunnel reservation,train paris london,0.0,0.0,20,140,140,170,480,210,260,140,320,260,260,320
340,aller à londres en train,train paris london,1.26,0.0,30,70,170,260,170,260,320,320,210,210,170,210
341,londres paris tgv,train paris london,1.43,0.0,10,30,30,30,30,30,40,20,20,20,10,20
342,prix paris londres eurostar,train paris london,1.43,0.0,10,10,30,50,50,50,50,40,50,70,30,50
343,billet eurostar prix,train paris london,1.59,0.0,10,10,30,20,20,20,40,20,30,30,20,20
344,trajet eurostar londres paris,train paris london,0.0,0.0,10,10,20,70,30,50,40,70,50,50,20,30
345,gare londres eurostar,train paris london,0.0,0.0,50,110,390,480,260,320,390,390,390,170,210,320
346,prix du billet eurostar,train paris london,0.0,0.0,10,10,20,10,10,10,10,10,10,10,10,10
347,paris angleterre en train,train paris london,0.0,0.0,10,10,20,10,10,30,10,10,10,10,10,10
348,transport paris londres,train paris london,35.12,2.07,20,40,70,90,70,90,90,50,50,50,70,50
349,billet eurostar londres,train paris london,0.89,0.06,30,70,140,480,390,390,390,480,390,260,170,260
350,eurostar réserver,train paris london,0.0,0.0,10,10,20,10,10,10,10,10,10,10,10,10
351,réservation billet eurostar londres paris,train paris london,35.71,0.49,10,10,10,10,10,10,10,10,10,10,10,10
352,eurostar reservation en ligne,train paris london,0.0,0.0,10,30,10,10,0,50,10,0,10,10,0,0
353,horaire train eurostar,train paris london,0.0,0.0,10,20,20,50,50,40,40,40,40,50,50,30
354,eurostar tgv london paris,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,0,0,10,10
355,paris londres train horaires,train paris london,0.0,0.0,10,10,20,10,10,20,10,10,10,10,10,10
356,kelbillet paris londres,train paris london,20.0,0.25,10,50,170,210,140,70,170,260,170,110,260,320
357,un billet de train,train paris london,10.15,0.27,110,140,210,210,260,210,210,320,260,260,320,260
358,tgv lyon paris horaires,train paris london,2.92,0.06,140,590,720,590,590,880,880,880,590,720,720,480
359,trajet londres pas cher,train paris london,7.14,0.17,10,10,10,30,30,30,30,20,20,20,10,10
360,paris londres avion ou train,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
361,billet sncf eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,0
362,gare de londres eurostar,train paris london,0.0,0.0,50,70,140,260,260,260,260,140,170,210,90,140
363,paris londres train low cost,train paris london,0.0,0.0,0,10,10,10,10,10,10,0,10,10,10,10
364,aller retour londre eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
365,train paris londres eurostar,train paris london,0.95,0.06,10,40,70,110,140,70,110,70,110,70,110,50
366,paris londres en eurostar pas cher,train paris london,0.0,0.0,0,10,10,0,10,10,10,10,10,0,10,10
367,train france angleterre,train paris london,0.33,0.06,170,170,260,260,260,320,390,260,260,260,210,210
368,eurostar londres lille,train paris london,3.74,0.06,40,170,170,170,260,170,260,210,210,170,170,140
369,eurostar prix aller retour,train paris london,0.0,0.0,10,10,20,10,10,10,10,10,10,10,10,20
370,eurostar ticket pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
371,plan train eurostar,train paris london,0.0,0.0,0,10,20,20,20,20,20,20,10,10,20,10
372,billet de train pas cher londres,train paris london,42.86,0.26,10,20,90,50,70,70,90,50,70,70,50,50
373,londres pas cher train,train paris london,0.0,0.0,0,30,50,20,30,90,70,70,30,30,50,40
374,voyage londres train,train paris london,0.0,0.0,10,30,170,210,110,90,70,170,170,110,70,90
375,eurostar sncf gare du nord,train paris london,0.0,0.0,10,10,10,0,10,10,10,10,10,10,10,10
376,paris londres train sncf,train paris london,0.0,0.0,0,10,10,20,10,10,20,10,10,20,10,20
377,dernier eurostar londres paris,train paris london,0.0,0.0,0,10,10,10,0,10,10,10,10,10,10,10
378,billet aller retour londres,train paris london,12.93,0.06,20,50,140,140,140,140,110,110,140,110,90,90
379,prix pour aller a londre,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
380,eurostar ligne,train paris london,0.0,0.0,30,30,40,40,40,30,40,40,30,30,20,30
381,prix tgv londres paris,train paris london,0.0,0.0,0,10,10,0,10,10,10,10,10,10,0,10
382,paris angleterre,train paris london,0.32,0.0,90,170,260,260,320,320,390,260,320,320,390,320
383,billet train pas cher londres,train paris london,7.14,0.09,10,10,70,50,30,50,70,40,40,50,30,50
384,londre eurostar pas cher,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
385,billet de train londre,train paris london,8.57,0.18,10,50,140,170,170,210,210,140,110,90,70,90
386,euro star prix,train paris london,7.14,0.0,10,10,10,20,10,20,20,20,30,20,20,10
387,billet pas cher paris londres,train paris london,14.29,0.08,10,40,110,110,140,140,210,110,140,140,110,170
388,billet eurostar moins cher,train paris london,23.81,0.0,10,20,90,50,40,40,70,50,40,90,40,40
389,paris londres gare,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
390,parcours eurostar,train paris london,0.0,0.0,10,10,20,10,10,20,20,10,40,20,10,20
391,reservation train eurostar,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
392,gare de depart eurostar,train paris london,0.0,0.0,10,10,20,20,20,20,20,10,20,20,10,10
393,sncf tgv france,train paris london,9.52,0.0,10,10,30,20,40,40,40,50,30,30,30,30
394,paris london sncf,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
395,billet de train pas cher pour londres,train paris london,0.0,0.06,0,10,30,30,20,30,40,30,40,40,40,30
396,londre par train,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
397,aller retour eurostar pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
398,train pas cher paris londres,train paris london,2.04,0.0,10,40,110,90,70,140,170,90,90,70,30,70
399,strasbourg paris sncf,train paris london,4.2,0.06,20,70,90,70,110,90,140,110,140,140,170,170
400,paris londres bus sncf,train paris london,0.0,0.0,0,0,10,0,0,10,10,0,10,10,10,0
401,tarif eurostar londres paris,train paris london,0.0,0.0,10,10,10,10,10,10,70,30,20,10,0,10
402,distance paris londres,train paris london,0.0,0.0,390,390,480,480,590,480,590,480,480,480,390,480
403,paris londres paris,train paris london,0.0,0.0,0,10,20,20,20,20,30,10,20,10,10,10
404,reservation sncf eurostar,train paris london,0.0,0.0,10,0,10,10,10,10,10,10,10,10,10,10
405,aller retour londre,train paris london,0.0,0.0,10,30,70,70,90,90,110,70,70,70,70,50
406,londre en tgv,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,0
407,billet londres eurostar,train paris london,3.57,0.06,10,30,110,140,140,110,140,50,110,70,70,110
408,trajet paris londres pas cher,train paris london,33.33,0.12,10,10,50,50,40,70,90,70,50,40,30,40
409,eurostar de paris,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
410,train vers londres,train paris london,0.89,0.0,20,30,40,50,50,50,90,40,50,30,30,30
411,eurostar paris londres horaires,train paris london,4.76,0.0,10,50,210,170,170,140,260,260,210,210,210,140
412,paris londres train et hotel,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
413,réserver billet de train sncf,train paris london,46.81,0.24,110,390,880,880,880,1000,1300,1300,1000,1000,1000,880
414,billet de train angleterre,train paris london,15.04,0.37,20,50,90,90,90,110,110,140,110,140,70,90
415,reserver un billet de train sncf,train paris london,30.34,0.24,90,170,390,390,590,720,880,880,720,720,480,480
416,voyage a londre eurostar,train paris london,0.0,0.0,0,0,0,0,0,0,10,0,0,10,0,0
417,itineraire eurostar,train paris london,0.0,0.0,10,10,40,30,30,30,30,30,30,20,20,20
418,sncf voyage eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,20,10,10
419,thalys paris londres,train paris london,0.0,0.0,10,30,90,170,110,140,210,140,110,140,90,110
420,gare du nord départ eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,20,10,10,10,10,10
421,billet de train pour londre,train paris london,22.86,0.16,10,20,50,70,70,70,70,50,70,50,50,40
422,train pour aller a londres,train paris london,1.5,0.11,50,90,170,260,210,260,260,170,140,140,90,110
423,prix paris londres,train paris london,1.68,0.03,20,20,50,70,110,70,90,50,70,50,30,50
424,eurostar ou le prendre,train paris london,0.0,0.0,10,10,10,20,10,10,10,10,10,10,10,10
425,paris angleterre tgv,train paris london,0.0,0.0,0,10,10,10,10,20,10,10,10,10,10,20
426,londres en eurostar,train paris london,0.0,0.0,10,10,40,40,40,50,50,40,30,20,30,30
427,billet train pour londres,train paris london,7.94,0.09,10,30,70,90,70,90,110,90,90,70,70,70
428,prix billet eurostar londres paris,train paris london,0.0,0.0,0,10,10,10,10,0,10,0,10,10,10,10
429,sncf france tgv,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,20,10,10
430,sncf train eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,0,10,10
431,voyage londres eurostar,train paris london,0.0,0.0,10,30,30,70,50,110,70,50,50,40,30,70
432,paris londres tgv prix,train paris london,4.76,0.06,10,10,20,40,30,20,10,20,20,20,10,10
433,prendre eurostar gare du nord,train paris london,0.0,0.0,10,10,10,10,10,10,20,20,10,10,10,20
434,ticket londres paris,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,0
435,billet train angleterre,train paris london,25.4,0.45,10,30,90,70,70,90,110,110,90,90,70,90
436,billet de train pas cher paris londres,train paris london,0.0,0.26,0,10,30,20,20,50,50,30,40,40,40,40
437,ticket train eurostar,train paris london,0.0,0.0,0,0,0,10,10,10,10,0,0,10,0,10
438,eurostar itinéraire,train paris london,0.0,0.0,10,10,20,20,20,20,10,10,10,10,10,10
439,car londres paris,train paris london,0.0,0.0,10,30,70,70,90,70,90,50,90,70,50,50
440,acheter billet pas cher eurostar,train paris london,0.0,0.0,0,0,10,0,10,10,10,10,10,10,10,0
441,billet de train pour londres pas cher,train paris london,10.2,0.21,10,10,30,50,50,50,90,70,70,70,40,50
442,billet pour eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
443,prix eurostar londres,train paris london,0.0,0.0,10,10,40,40,110,90,30,20,20,50,30,10
444,tarif eurostar pas cher,train paris london,0.0,0.0,0,10,0,10,10,0,0,0,10,10,10,10
445,londres train pas cher,train paris london,8.93,0.24,10,10,40,40,20,70,90,40,30,20,20,20
446,londres sncf,train paris london,0.0,0.0,10,10,50,70,30,50,70,50,50,30,50,50
447,euro star londres,train paris london,0.0,0.0,20,70,110,390,170,70,90,320,50,30,90,210
448,trajet eurostar carte,train paris london,0.0,0.0,20,70,90,30,50,30,70,50,90,110,50,40
449,prix billet eurostar paris londres,train paris london,5.95,0.06,10,20,10,40,50,70,70,70,30,40,40,50
450,gare de londre,train paris london,0.0,0.0,260,260,390,590,320,480,590,480,390,320,320,260
451,billet londres pas cher train,train paris london,0.0,0.0,10,10,10,20,20,20,20,20,10,10,20,20
452,eurostar pour londres,train paris london,0.57,0.0,20,40,40,30,50,50,50,30,50,50,50,70
453,eurostar billet train,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,0,10,10,10
454,londres a paris,train paris london,0.0,0.0,10,20,20,30,30,40,40,30,30,40,40,30
455,enregistrement eurostar,train paris london,0.0,0.0,10,90,320,260,210,320,390,320,260,320,320,320
456,paris londres eurostar sncf,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
457,billet train pas cher pour londre,train paris london,0.0,0.0,0,0,0,0,0,10,10,0,0,10,0,0
458,eurostar gare londres,train paris london,0.0,0.0,10,40,90,110,90,90,110,90,110,90,70,90
459,paris londres ar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,0,10
460,eurostar réservations en ligne,train paris london,0.0,0.0,0,0,0,0,0,0,0,0,10,0,0,10
461,prix paris londre,train paris london,0.0,0.0,10,10,10,10,10,10,20,10,10,10,10,10
462,ou acheter des billets eurostar,train paris london,0.0,0.0,0,10,10,20,10,10,10,10,10,10,10,10
463,trajet eurostar paris londres,train paris london,0.0,0.0,50,90,170,210,260,210,110,70,140,140,110,110
464,shuttle paris londres,train paris london,0.0,0.0,40,50,260,210,320,140,140,110,140,170,110,70
465,arrivée eurostar,train paris london,0.0,0.0,20,140,320,320,260,210,320,390,320,390,320,320
466,billet de train pour londres moins cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
467,eurostar paris londres aller retour,train paris london,0.0,0.0,10,10,30,30,10,10,40,20,30,30,20,10
468,londres en train pas cher,train paris london,7.14,0.11,10,10,30,10,20,50,50,40,10,10,10,10
469,tarif eurostar paris londres aller retour,train paris london,0.0,0.0,10,10,10,30,10,10,10,30,10,10,20,20
470,tgv paris londres pas cher,train paris london,0.0,0.0,10,10,40,10,20,30,10,10,30,30,40,40
471,reservation eurostar londres paris,train paris london,21.43,0.06,10,10,10,10,10,0,10,0,10,20,30,20
472,billet de train pour londres aller retour pas cher,train paris london,0.0,0.0,10,10,10,20,10,20,20,20,10,30,30,10
473,billet paris londres eurostar pas cher,train paris london,0.0,0.0,10,10,20,20,20,20,50,40,20,30,20,30
474,reservation billet train eurostar,train paris london,0.0,0.0,0,0,0,10,10,10,10,0,10,10,0,0
475,tgv strasbourg paris horaires,train paris london,1.43,0.05,40,260,320,320,590,390,390,320,320,390,480,320
476,voyage eurostar londres,train paris london,4.76,0.0,10,30,20,20,20,20,10,10,20,10,10,10
477,eurostar londre gare,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,0,10,10
478,billet train pas cher londres paris,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
479,tgv pour londres,train paris london,0.0,0.0,10,20,40,40,70,50,50,40,50,40,30,40
480,eurotunnel paris londres,train paris london,0.0,0.0,20,70,30,40,70,170,70,40,70,70,50,40
481,train pas cher pour londres,train paris london,0.0,0.0,10,10,30,30,20,40,50,40,30,30,20,40
482,eurostar arrivée,train paris london,0.0,0.0,30,140,320,260,260,260,260,320,260,320,260,210
483,paris londres prix eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
484,londres tgv,train paris london,0.0,0.0,10,20,40,50,50,70,90,50,50,40,20,40
485,euro star tgv,train paris london,0.0,0.0,0,10,0,10,0,10,10,10,10,0,10,10
486,prix billet eurostar aller retour,train paris london,0.0,0.0,10,10,20,10,10,10,10,0,10,10,10,10
487,tarif paris londres eurostar,train paris london,0.0,0.0,10,10,30,40,30,70,50,40,40,30,30,50
488,billet de train londre pas cher,train paris london,0.0,0.0,0,10,10,20,10,20,20,20,20,20,10,10
489,prix aller retour eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
490,quelle gare pour eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
491,paris londres train plus hotel,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
492,horaires train eurostar londres paris,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
493,billet pour londres eurostar,train paris london,0.0,0.06,0,10,10,20,20,20,30,20,70,50,50,20
494,billet london,train paris london,8.57,0.1,10,10,30,40,40,20,30,30,30,30,10,20
495,aller retour londres eurostar,train paris london,0.0,0.0,10,10,20,20,20,10,20,20,20,30,20,20
496,transport paris londres pas cher,train paris london,0.0,0.78,0,10,10,20,20,40,30,30,20,30,20,10
497,eurostar paris londre pas cher,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
498,eurostar paris a londres,train paris london,0.0,0.0,10,20,20,30,20,10,30,30,10,20,10,10
499,prix train londres,train paris london,0.0,0.0,10,30,70,70,70,50,70,50,40,40,40,40
500,eurostar pas cher aller retour,train paris london,0.0,0.0,0,0,0,10,0,10,0,0,0,0,10,10
501,eurostar londres gare,train paris london,0.0,0.0,10,30,40,40,30,30,40,30,40,30,30,30
502,gare depart eurostar,train paris london,0.0,0.0,0,10,10,10,10,10,20,10,20,10,10,20
503,prix train paris londres,train paris london,2.32,0.06,40,30,90,90,90,90,90,70,90,70,70,90
504,billet de train eurostar paris londres pas cher,train paris london,0.0,0.19,0,10,20,20,40,20,20,40,20,40,40,30
505,billet pas cher londres train,train paris london,0.0,0.0,10,10,10,10,10,20,20,20,10,20,20,10
506,bus londre pas cher,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
507,billet de train paris londre pas cher,train paris london,0.0,0.0,0,10,10,20,10,20,90,70,40,20,10,10
508,paris londres eurostar temps,train paris london,0.13,0.0,110,170,390,390,210,260,390,480,720,480,320,320
509,billet tgv paris londres pas cher,train paris london,0.0,0.1,10,0,10,10,20,20,20,20,10,10,10,10
510,aller a londres en train,train paris london,0.0,0.0,10,10,30,40,30,30,50,20,30,20,20,20
511,tarif eurostar londres,train paris london,0.0,0.0,10,10,20,40,10,20,50,110,70,40,30,20
512,bus sncf londres paris,train paris london,0.0,0.0,0,0,0,0,10,0,0,0,0,0,0,0
513,site eurostar,train paris london,1.19,0.18,10,40,30,30,50,30,40,30,30,30,20,30
514,achat eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,0,10,10,10,10
515,trajet paris londres eurostar,train paris london,0.0,0.0,10,10,50,90,90,90,90,50,90,110,50,90
516,eurostar parcours,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
517,train à londres,train paris london,0.0,0.0,10,20,40,70,40,50,50,20,40,30,40,30
518,sncf eurostar horaires,train paris london,0.0,0.0,10,10,10,10,10,10,20,10,10,10,10,10
519,gare pour eurostar,train paris london,0.0,0.0,10,0,10,10,10,10,10,10,10,10,10,10
520,paris londres 29 euros,train paris london,0.0,0.0,0,10,10,10,0,0,10,10,10,10,10,0
521,aller en angleterre en train,train paris london,0.0,0.0,10,10,50,50,40,40,50,30,30,50,20,30
522,eurostar gare du nord plan,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,20,10,10,10
523,paris gare eurostar,train paris london,0.0,0.0,0,50,10,10,0,10,10,10,10,10,10,10
524,sncf londre,train paris london,0.0,0.0,10,10,20,30,20,40,30,20,20,30,10,20
525,train de paris a londres,train paris london,8.57,0.06,10,20,30,30,40,40,40,30,40,70,20,50
526,billet aller retour paris londres,train paris london,0.0,0.0,10,10,40,20,20,30,40,20,40,20,10,10
527,billet londres paris eurostar,train paris london,3.57,0.06,10,10,10,10,10,10,10,10,10,10,10,10
528,prix aller retour londres,train paris london,0.0,0.0,10,10,20,30,40,40,40,40,40,30,30,30
529,paris londres pas cher tgv,train paris london,0.0,0.0,0,0,10,10,10,10,10,10,10,10,10,10
530,tgv londres pas cher,train paris london,0.0,0.0,0,10,10,20,10,10,20,30,30,10,10,20
531,sncf eurostar reservation,train paris london,0.0,0.0,0,10,0,10,0,10,10,10,0,10,0,10
532,aller retour paris londres eurostar,train paris london,19.05,0.0,10,10,20,30,30,20,20,30,20,10,20,20
533,eurostar paris quelle gare,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,10
534,train londres paris eurostar,train paris london,0.0,0.0,10,20,10,10,10,20,10,10,10,20,20,10
535,paris londres cheap,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
536,voyage à londres eurostar,train paris london,0.0,0.0,10,0,10,10,10,10,10,10,10,10,0,10
537,train a londres,train paris london,1.43,0.0,10,20,30,30,30,40,40,30,20,20,20,10
538,prix des billets eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,0,10,10
539,horaires arrivées eurostar,train paris london,0.0,0.0,0,0,10,10,10,10,0,10,10,10,0,10
540,train france londres,train paris london,1.59,0.05,30,40,70,70,70,70,90,70,70,50,40,50
541,tarif train paris londres,train paris london,0.0,0.0,10,10,30,40,20,30,50,20,30,20,20,30
542,prix billet londres,train paris london,0.0,0.0,10,20,50,40,50,40,40,30,40,30,40,30
543,vitesse eurostar,train paris london,0.0,0.0,70,110,260,210,170,210,260,170,320,210,210,260
544,billet eurostar londres pas cher,train paris london,0.0,0.0,10,10,10,70,30,30,40,30,40,20,10,10
545,billet londres train,train paris london,25.71,0.22,10,20,40,40,50,50,40,30,20,30,30,40
546,prix ticket eurostar,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
547,billet tgv paris londres,train paris london,0.0,0.06,10,10,40,30,30,40,40,30,30,30,40,30
548,train paris londres aller retour,train paris london,0.0,0.0,10,10,20,10,70,10,30,30,20,30,10,30
549,eurostar billetterie,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,10,10,10,0
550,prix billet londre,train paris london,0.0,0.29,10,10,10,20,20,10,10,10,10,10,10,10
551,gare depart eurostar paris,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,10,10,10,10
552,prix billet paris londres,train paris london,0.0,0.0,10,10,20,20,20,20,40,20,30,30,20,20
553,londres thalys,train paris london,0.0,0.0,0,10,20,20,20,20,20,30,10,10,10,20
554,aller retour londres train,train paris london,1.79,0.0,10,30,20,90,90,140,70,70,70,50,20,30
555,eurostar à paris,train paris london,0.0,0.0,0,10,10,10,10,10,10,0,10,10,10,10
556,sncf eurostar paris londres,train paris london,0.0,0.0,10,10,10,10,50,70,50,10,10,20,20,10
557,gare du nord londres,train paris london,2.2,0.06,10,50,110,90,90,140,170,170,140,90,110,90
558,acheter billet eurostar pas cher,train paris london,0.0,0.0,10,10,10,10,10,10,10,10,0,10,0,10
559,train eurostar paris londres,train paris london,3.57,0.0,20,50,110,140,140,50,90,70,70,50,40,50
560,londre pas cher eurostar,train paris london,0.0,0.0,0,10,10,10,20,10,10,10,10,10,10,10
561,tarif eurostar aller retour,train paris london,0.0,0.0,0,10,0,10,10,10,20,10,10,10,10,10
562,billet train pour londres pas cher,train paris london,0.0,0.13,10,10,20,30,10,40,20,30,20,20,20,20
563,trajet paris londre,train paris london,0.0,0.0,10,20,30,40,30,30,40,30,20,30,30,20
564,ticket eurostar paris londres,train paris london,0.0,0.0,0,10,10,10,10,10,10,10,20,10,10,10
565,tarif train londres,train paris london,0.0,0.0,10,10,40,50,30,40,50,30,30,40,20,40
